#Wave		#Intensity
1000.953125	139902.359375
999.212891	140123.546875
997.472656	134382.781250
995.730469	110027.156250
993.988281	110025.117188
992.246094	109213.718750
990.503906	109442.835938
988.761719	109795.203125
987.017578	109510.671875
985.275391	109379.671875
983.531250	109043.726563
981.787109	109071.953125
980.041016	109227.679688
978.296875	109379.039063
976.550781	109748.031250
974.804688	109691.570313
973.058594	110119.015625
971.312500	110650.757813
969.564453	111358.289063
967.818359	112139.898438
966.070313	112587.882813
964.322266	113217.289063
962.574219	113617.656250
960.824219	113842.007813
959.076172	112985.796875
957.326172	112785.796875
955.576172	111453.023438
953.826172	110826.375000
952.074219	110051.476563
950.324219	109078.468750
948.572266	108788.132813
946.820313	108165.421875
945.068359	107614.304688
943.314453	107096.226563
941.562500	107258.625000
939.808594	106632.468750
938.054688	106581.054688
936.300781	106580.968750
934.546875	106371.406250
932.791016	105971.039063
931.037109	105943.992188
929.281250	106178.968750
927.525391	105972.500000
925.767578	106529.031250
924.011719	106839.132813
922.253906	107642.789063
920.496094	108107.546875
918.738281	108479.664063
916.980469	108090.929688
915.222656	106478.414063
913.462891	105642.570313
911.703125	104777.242188
909.943359	104930.867188
908.183594	104598.664063
906.421875	105077.429688
904.662109	104364.851563
902.900391	104136.578125
901.138672	104105.656250
899.376953	103745.585938
897.615234	103757.296875
895.851563	104478.093750
894.087891	103889.875000
892.324219	104151.023438
890.560547	104339.765625
888.796875	104911.007813
887.031250	105914.062500
885.265625	107018.664063
883.501953	108245.976563
881.734375	108471.828125
879.968750	107671.398438
878.203125	107952.453125
876.435547	106616.242188
874.667969	106815.351563
872.900391	107284.476563
871.132813	108635.671875
869.363281	110390.562500
867.593750	112917.757813
865.824219	116524.796875
864.054688	121901.773438
862.285156	128830.046875
860.515625	137992.046875
858.744141	146418.781250
856.972656	151760.656250
855.201172	152858.265625
853.429688	147026.671875
851.656250	136398.890625
849.884766	127142.226563
848.111328	119814.117188
846.337891	114005.921875
844.564453	111045.679688
842.789063	108958.898438
841.015625	107780.226563
839.240234	106852.757813
837.464844	106067.898438
835.689453	106378.656250
833.912109	106697.710938
832.136719	108560.335938
830.359375	110643.023438
828.582031	114145.476563
826.804688	118304.546875
825.025391	121588.695313
823.248047	121364.234375
821.468750	117786.609375
819.689453	112215.312500
817.910156	107312.281250
816.128906	104120.601563
814.349609	102069.070313
812.568359	100112.484375
810.787109	99250.117188
809.005859	97715.945313
807.222656	97470.351563
805.441406	97236.078125
803.658203	96850.437500
801.875000	96445.335938
