,area,equivalent_diameter_area,orientation,axis_major_length,axis_minor_length,perimeter,intensity_min,intensity_mean,intensity_max
10,3610782.0,2144.1526134624655,89.8030936208656,3043.540606161548,2348.665057198105,56719.36532772535,0.0,75.07283906920993,255.0
11,50851.0,254.45137863514861,-87.16938400959455,302.3533517208229,218.99284232147434,1196.9240610230004,55.0,104.87671825529488,210.0
12,5652.0,84.83130263554332,-12.970291287539679,104.33530756944776,73.3964384034964,394.86605307173204,69.0,107.79617834394904,147.0
13,19075.0,155.843011764478,18.29864929267587,184.42991161495348,137.15036013939616,709.4356415871823,54.0,124.08435124508519,226.0
14,4670.0,77.11049652228424,53.54872567159012,112.36529888976325,59.8813447497436,419.93712088359746,42.0,101.06167023554603,238.0
15,46519.0,243.37179454804337,-12.645550709701798,380.10865538088973,181.2130530909144,1623.4175310927021,32.0,112.40811281411897,255.0
16,18316.0,152.7110195806748,-62.13626448441516,183.5977071012479,133.65258139431978,692.4772721475249,36.0,125.85466259008517,174.0
17,22185.0,168.0679008613768,-6.302073416948505,236.6064780713506,134.35037943361246,1151.0600999923215,59.0,102.62037412666216,245.0
18,3128.0,63.10858337763247,-25.54782242671291,75.91050928518452,56.37753856669978,319.2031021678298,44.0,100.06585677749361,130.0
19,593.0,27.47782833536798,72.68685020442832,37.45592553894174,27.045527000015184,144.6812408671319,86.0,113.1247892074199,137.0
20,22408.0,168.91048433541812,-75.12841349608979,231.2605054514749,134.73560342829194,1083.4204896855322,69.0,98.0730096394145,254.0
21,47127.0,244.9570575115851,30.47256170851501,361.469020108483,193.78773032523176,1549.192134348286,53.0,102.6376387209031,247.0
22,8371.0,103.2389859935579,-73.73940349491099,131.84705137827257,87.876989891768,571.352380466497,49.0,96.05232349778998,181.0
23,2150.0,52.320789569544914,9.11752025812295,60.45771363600404,59.3161356581301,322.6467529817257,46.0,95.28930232558139,144.0
24,59305.0,274.78986735416356,-12.900687708813049,348.27942816462064,227.19324516145977,1564.9789309126895,38.0,103.84529129078493,180.0
25,4609.0,76.60522868371561,30.01810901007494,97.91952837284283,65.38061864945222,428.63560569343247,60.0,97.59535691039271,130.0
26,76330.0,311.7472926099519,47.99346302424873,450.5180604349305,248.1578336652585,2003.999312916972,34.0,109.1015197170182,195.0
27,5954.0,87.06818161276345,15.990064701055871,96.72895724143696,83.71118083568066,462.0559159102154,65.0,92.3516963385959,132.0
28,18928.0,155.241354357488,6.020301028331664,198.9566468858988,126.04976960361904,871.5493859799169,34.0,108.24286770921387,170.0
29,43864.0,236.3247329211718,-47.03964976156928,420.64162393973515,182.30196551892226,1680.1038225937173,34.0,111.31875797920846,251.0
30,17178.0,147.89086820848888,-2.6473587312113294,169.70177589928605,135.8501455523417,696.6488450227787,68.0,107.73320526254511,191.0
31,12917.0,128.24365559100417,62.64239711627109,147.61315186657865,115.73494310064824,720.1280297426074,43.0,103.58744290469923,202.0
32,13848.0,132.78486817213977,-38.03097808092837,156.60093996733983,123.92854686076866,795.2529214236353,68.0,110.59329867128827,251.0
33,58259.0,272.35576483108605,10.679981306548791,419.7271410846618,245.9741058567146,2023.1120112891804,41.0,110.99625808887897,200.0
34,2065.0,51.27611198090307,-31.14298443501661,83.39228614509935,41.413024197973826,333.2091988222396,50.0,92.74430992736077,118.0
35,2372.0,54.95565667073596,-7.2331001991245465,71.46737630854963,52.425961893993616,321.47518010647184,55.0,91.19266441821247,112.0
36,65503.0,288.7923300553312,-46.40738976646007,371.922731182906,238.73072060140996,1446.4103884177655,17.0,110.60310214799323,255.0
37,1547.0,44.38132012125481,67.43061360840572,49.68710045054876,41.45670392346148,198.27922061357856,79.0,99.2333548804137,166.0
38,12459.0,125.94955929996497,27.246748253418048,166.99447009230633,103.8786554491449,744.6671349860084,47.0,102.79131551488884,158.0
39,975.0,35.233628199729644,-10.758032715493487,49.01133650976324,27.666803096716748,173.44469683442247,62.0,104.77230769230769,130.0
40,44613.0,238.33387465752705,53.36928125530056,378.3430526923617,170.60379193364034,1348.9778848921628,55.0,103.42046040391814,245.0
41,1408.0,42.34053942720982,16.294427552420533,54.88763622751474,39.349983744714756,245.91273426595797,55.0,96.6434659090909,121.0
42,7566.0,98.14953079595561,35.655931479379845,131.4537421384168,83.26813030570048,637.2935059634515,25.0,87.37179487179488,152.0
43,4420.0,75.01812306189365,54.27738256326985,84.55978372849495,75.24603246975816,404.6650429449553,73.0,101.28393665158372,145.0
44,3729.0,68.90508154205627,79.31071716833775,80.41171127275636,65.91465550717847,343.2741699796952,66.0,95.81684097613301,115.0
45,6270.0,89.34882173531709,40.73384915843372,109.29462444924037,83.27230091618297,511.8610024378486,70.0,104.86921850079744,162.0
46,10979.0,118.23238541807127,-30.562786617466806,162.33308223874627,95.28042658865255,690.8265145524425,34.0,92.40012751616723,160.0
47,15880.0,142.1936847064397,60.77071821426253,185.87830444508586,119.15402905555136,769.1818536117698,28.0,132.166120906801,173.0
48,37498.0,218.50385911575825,-63.00992841595027,325.58345931317837,161.92086247669636,1365.5697679841996,44.0,121.74595978452184,178.0
49,30091.0,195.7371991743669,-9.228539999270966,300.73459284498693,135.75853874866766,1215.2611101190982,41.0,113.96510584560167,254.0
50,53052.0,259.89979670497985,40.433838146244796,284.49501932405605,246.94383758473236,1219.5687219636732,44.0,104.00205458795145,152.0
51,554.0,26.558891313141824,19.07210298193639,39.959319187810145,18.914576991622468,117.12489168102785,95.0,148.71480144404333,191.0
52,1608.0,45.247863904654565,85.3854442641112,58.120331668517224,37.95012017610478,227.17871555019022,50.0,99.93843283582089,149.0
53,5912.0,86.76054511397611,-5.034027149612298,115.88095963671871,68.03220350110334,422.80717856868625,69.0,111.72598105548037,163.0
54,20635.0,162.09040072012309,1.297889304615484,189.40020106595313,139.9490248597022,640.8315651863259,54.0,123.84245214441484,232.0
55,3942.0,70.84567936964125,54.939947757350964,88.05134135458513,61.148750978125186,340.2447327281724,55.0,99.52536783358701,136.0
56,1350.0,41.45929793656026,19.294320193193638,52.06331937721535,37.033130714102484,217.10764773832477,53.0,116.92814814814815,157.0
57,3157.0,63.400451439472484,-29.569263203373914,84.2536843016529,54.21581562303957,337.3391411371508,31.0,109.68514412416852,142.0
58,5845.0,86.2675207652163,87.36268666142429,115.5184987830776,71.92163736694704,481.6417023478424,52.0,108.51890504704876,142.0
59,8961.0,106.81525902403548,-52.52198888452626,145.7293027919283,88.73294240941064,608.1158364337876,44.0,109.88438790313582,149.0
60,6113.0,88.22308845742168,-85.93328717073233,110.10248840631066,73.12498092235128,439.5351006300441,47.0,94.88467201046949,129.0
61,4280.0,73.82049343824855,-13.168066934345664,119.16943395377922,53.945851588565695,452.77164466275354,71.0,123.38294392523365,246.0
62,2183.0,52.72079216169708,-27.15301962931407,58.5849227506945,49.99943707628826,261.2558800164656,58.0,95.89830508474576,132.0
63,7244.0,96.03825936605432,77.49196060826151,124.0557649973166,88.94321563038129,581.1452736853105,57.0,100.62976256212038,254.0
64,17004.0,147.13995113046866,63.35145498001957,176.00666161790573,128.17606217932885,825.1585130146568,51.0,93.38414490708068,192.0
65,3934.0,70.77375480351547,-36.85125712372114,91.12855083243684,58.82458945607225,361.00209204105306,65.0,100.5447381799695,165.0
66,18633.0,154.02685622010952,-81.34286982304253,240.09715088288655,114.62518283355375,1086.3494218736669,39.0,95.70503944614394,161.0
67,13679.0,131.97213240844556,74.37122090189271,173.83309064536328,112.98682480261732,676.7138161802343,46.0,98.92053512683675,184.0
68,5148.0,80.96071378327032,-42.66019062155692,101.97943661580865,77.46077249798043,539.0031380615796,52.0,94.29292929292929,119.0
69,3661.0,68.27393333678258,47.02427136101419,93.93514717383104,54.26527727817634,343.06706319850866,71.0,111.78011472275334,169.0
70,12083.0,124.03448479771653,-31.31645029523577,161.7577176604966,107.17869808242443,745.6549416771886,57.0,113.53562856906397,227.0
71,13811.0,132.60735783634834,-65.02587544278997,173.4257410232662,117.68750014079073,869.3422791987305,54.0,110.32264137281877,249.0
72,1780.0,47.60636921283317,29.07077979720873,62.102646314697935,52.067258467167676,307.36857838867365,74.0,92.15224719101124,114.0
73,7726.0,99.18189715176791,50.72382828758246,122.1289823165828,82.77247572732134,501.95541084682714,45.0,96.70709293295366,169.0
74,28004.0,188.827435005519,33.473664496782796,295.229269896314,140.49781544868094,1124.3910524340095,58.0,106.45989858591629,205.0
75,28392.0,190.13105257721776,64.66202637526779,200.22534598399116,188.03224216765835,956.3544725075502,39.0,104.85457171034093,189.0
76,7302.0,96.42196407279908,21.871004718635014,111.52404087482097,88.04678375662425,454.78383797157323,57.0,102.17050123253902,218.0
77,23079.0,171.42081394318143,86.75611381104815,248.9831301671787,156.4787086076752,1146.6692270270614,59.0,106.89111313315135,236.0
78,2427.0,55.58913900279658,21.750315475328602,69.44572410828675,56.325181496493826,350.8954903232549,39.0,91.48042851256696,121.0
79,5647.0,84.79377164107906,-30.50308884601837,98.74923873537728,81.90192597930138,503.6122650963195,31.0,101.74570568443421,255.0
80,27638.0,187.58943077207317,-49.463848255102384,252.29460795485858,146.47866775965127,989.6976182580578,44.0,120.27212533468413,205.0
81,5674.0,84.99624213356326,-54.6530566897814,121.96154635682467,67.39397068760164,469.78383797157323,49.0,98.87116672541417,130.0
82,39650.0,224.6863323585776,-50.7379478184285,343.65140812564516,151.77379900235218,1247.4154390516487,37.0,112.42809583858764,169.0
83,9695.0,111.10381355384433,-1.2979877354902223,125.0848011634975,109.25554486858385,544.7249634685276,32.0,107.09685404847859,147.0
84,1951.0,49.84064959225855,84.28761515818637,80.91747111033091,39.427403993822196,307.71782079359116,62.0,94.48846745258841,135.0
85,9045.0,107.31473189702123,-62.87056907072734,137.43113608813348,91.76733142455447,475.7127701597078,58.0,105.59823106688778,182.0
86,5601.0,84.44770387678783,65.030719830356,92.94371606918288,79.14828867116816,367.00209204105306,71.0,105.53186930905196,132.0
87,19803.0,158.78905095878125,-21.882706273891742,170.01703870396327,161.15360841245354,784.7676400493967,55.0,107.11811341715902,160.0
88,4798.0,78.16011345718039,3.1710809806731683,100.38632733940265,65.02450086354233,411.35743110038044,66.0,100.46165068778657,165.0
89,2665.0,58.25103764500001,42.40072241292255,84.9855074485847,49.95088055218667,382.52290732122435,72.0,91.46754221388368,173.0
